,X,Y,EQ
62,"[[238697966.967839, 10.0827866901137], [289007866.182170, 47.8610927083837], [127107665.249801, 13.3292263243174], [460025719.387627, 78.3176212104393], [950903092.650471, 10.3787201614936], [262243576.868020, 46.3390781830133], [895963491.773808, 19.2056978792520], [417837952.886294, 12.3360085991594], [540679163.592354, 76.8799415537310], [219139126.409204, 54.8661356453955]]","[1.39195307781063e-22, 6.60778459006980e-22, 1.84023127827708e-22, 1.08126719773915e-21, 1.43243562190442e-22, 6.39766191908336e-22, 2.65116035626192e-22, 1.70294948307747e-22, 1.06141363526700e-21, 7.57497198288205e-22]",h*omega/(2*pi*(exp(h*omega/(2*pi*T*k)) - 1))
63,"[[2.17220065373747e-18, 1.56516331189470e-18], [4.28928135683562e-18, 1.10777873945875e-18], [2.00660934855124e-18, 4.71665655902375e-18], [1.17486209806207e-18, 6.12307291727028e-18], [1.09603415660582e-17, 2.69668075456463e-18], [4.25731144566935e-18, 1.40597522059119e-17], [4.03333302429199e-18, 3.98704278146546e-18], [1.59620108570526e-18, 9.59467501727537e-18], [1.27246042492661e-17, 2.03428494821720e-18], [3.38222563276160e-18, 2.88162686416382e-18]]","[0.00103900205919309, 0.00202875166267102, 0.00803295841983333, 0.00464607899503927, 0.0765162180720145, 0.289017973130882, 0.0230732522964918, 0.0209424811184529, 0.0590500264942362, 0.00851709467969616]",sin(2*pi*E_n*t/h)**2
64,"[[2.58102916141479e-22, 150.302246047483, 2.90928415153225e-18, 911569597.558612, 295980307.484032], [4.31407896836435e-22, 17.3682939492087, 9.47274619907832e-18, 458106709.579622, 1423680194.96548], [3.48754510532812e-22, 29.1094601317737, 1.79248497693243e-18, 902569697.821631, 119308431.137366], [1.51702928449283e-21, 81.9426784775968, 1.79698198733242e-18, 372923107.945161, 140070962.255994], [1.05248019466854e-22, 58.4660704418531, 2.10675497103517e-18, 705707134.105796, 393524251.147988], [2.45090112249914e-22, 96.2876563170898, 1.34960709774678e-17, 748033066.774469, 193410910.220376], [1.40026946915441e-22, 114.319546850837, 2.67194209855818e-18, 333688844.252864, 537053298.553842], [1.22187783244448e-22, 10.1529710998468, 1.81109819546350e-18, 493056957.495451, 772772982.939038], [5.05336893258759e-22, 11.0200122011400, 4.96863624992133e-18, 552095966.546319, 492043410.580655], [6.24696211668261e-22, 27.4733541687719, 3.06908957545444e-18, 1362238672.11858, 843725419.999323]]","[1.14534605406870e-6, 4.52991427422829e-7, 2.97760232687290e-8, 4.48686875076878e-6, 1.51116333471021e-8, 9.12126762240597e-6, 1.64500033711290e-7, 4.53913965846218e-10, 6.88411707771862e-8, 2.49475510627445e-7]",16*pi**2*Ef**2*p_d**2*sin(t*(omega - omega_0)/2)**2/(h**2*(omega - omega_0)**2)
65,"[[1.20773874110796e-25, 0.00210232305104092, 0.0102796960120009, 0.00583666785697281], [2.47125896382256e-25, 0.00861208821729448, 0.00707218057486456, 0.00337699454954745], [6.31481195868502e-25, 0.00163259580523116, 0.0158735731811248, 0.00365551822517364], [1.74977825735514e-25, 0.00234483431743810, 0.00858185136974810, 0.00301787852754529], [2.23046799425255e-25, 0.00320266490236405, 0.00382998183456626, 0.00127767800378128], [1.12132613267746e-24, 0.00148871695879897, 0.00312840997049179, 0.00909945397723076], [1.37290038251284e-24, 0.00495913856746853, 0.00148759542607578, 0.00462741717862274], [8.59651456554542e-25, 0.00135475945409542, 0.0135230573214310, 0.00563546737635735], [1.20762579600473e-25, 0.00405728179700451, 0.00927690260528489, 0.00107596308989754], [7.97632613555074e-25, 0.00401642718771389, 0.00159129403818200, 0.00310188326514858]]","[1.45008440374101e-27, 2.87758866941523e-27, 1.03377639396604e-26, 1.64380479785724e-27, 1.14946566830313e-27, 1.09180140209193e-26, 9.53340535157297e-27, 1.26478934238822e-26, 1.22964627467422e-27, 4.24214468700241e-27]",mew*sqrt(Bx**2 + By**2 + Bz**2)
66,"[[1.54709212540152e-17, 1.97347786572268e-10, 0.881227549806513], [1.40018085243373e-18, 3.49837193089661e-10, 0.168406037350566], [4.19964797969486e-18, 5.79755039265070e-10, 1.22892016852908], [2.47745664954763e-18, 8.35801724091975e-10, 0.140753310507817], [1.42283642962400e-18, 5.86428134519332e-10, 1.53698104982382], [2.89799905459025e-18, 2.16761601163671e-10, 0.335193726860699], [3.85593293729825e-18, 1.35007397490451e-10, 1.22708076606553], [1.22269124555682e-17, 3.83734412355632e-10, 0.376453704203700], [4.53541401067377e-18, 1.05589841792707e-9, 0.266113040034919], [5.87594553967177e-18, 5.09574406948364e-10, 0.246817702747966]]","[0.0100698405951838, 0.000547302693418730, 0.0328987547334775, 0.00461981986641674, 0.0142628698541971, 0.000865590850171994, 0.00163557922851507, 0.0128541601626910, 0.0255200315272977, 0.00714205380684725]",4*pi*E_n*K*d**2/h
67,"[[0.00589671252829621, 2.85766131911059e-19, 0.818699049896918, 12.8730637786507], [0.0107964178742484, 3.34208145164355e-18, 1.03400391044129, 126.625891837644], [0.00157464596608037, 1.27366011107705e-19, 0.283230132077230, 57.5063498036134], [0.00127138379956246, 2.17784024707495e-18, 0.294760358759762, 132.777455888130], [0.00114920721158636, 3.49224805229719e-19, 0.120210024526541, 27.7679553755243], [0.0107676545203969, 1.89703958122625e-19, 0.216637811712357, 14.3818647898458], [0.00150048351679077, 9.81767015920833e-19, 0.215211634212431, 127.699249521024], [0.00150602878307541, 1.28029141996553e-19, 0.175525460329819, 11.9772026988702], [0.00321404990180849, 1.22602432021725e-18, 0.699806753741184, 65.5814146162960], [0.00231073549867778, 1.25931080472243e-18, 1.08456049322783, 60.9106771548448]]","[2.83221200880278e+569, 3.08071743321825e+856, 8.50171493533165e+16, 1.52814226835831e+149, 4.13174042434476e+44, 8.29921536449577e+87, 1.66790903414931e+49, 1.57472737849297e+56, 1.07951091869783e+409, 4.97651268538206e+702]",I_0*(exp(Volt*q/(T*k)) - 1)
68,"[[6.44847777398112e-18, 0.162453505038999, 1.08523568458179e-9], [1.13458660538652e-18, 1.27443620505336, 1.50175114772745e-10], [1.44943059513680e-17, 0.523406082527737, 1.61833759936526e-10], [8.67539240837913e-18, 0.141993305777031, 1.83095808980505e-10], [7.01782576220814e-18, 0.420737590540568, 9.34114693428737e-10], [7.07068658664989e-18, 0.168409696259810, 2.05022276417907e-10], [9.83448999221247e-18, 0.620240534038983, 1.52635699178778e-9], [1.71925863726034e-18, 0.166807601682672, 1.52842725415910e-10], [1.34265945736897e-17, 0.628107564865004, 5.90597839702399e-10], [1.18505589276841e-18, 0.685555925807108, 1.56447903826016e-9]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2*U*(1 - cos(K*d))
69,"[[7, 15, 1.23956795467375e-9], [2, 1, 7.91357837230870e-10], [3, 6, 7.80100265033692e-10], [4, 11, 8.58650770505941e-10], [1, 5, 1.01545905822576e-10], [8, 2, 3.38713798163986e-10], [3, 1, 3.91864478483003e-10], [2, 2, 1.99071626829897e-10], [4, 14, 7.18754906284396e-10], [4, 2, 7.54309138029189e-10]]","[2365463815.27119, 15879504849.9571, 4027165217.60714, 2660912603.39748, 12375063782.7935, 74200523760.6248, 48102231655.4685, 31562435125.6669, 2497646675.32021, 16659443695.9783]",2*pi*alpha/(d*n)
70,"[[2.61397958178361e-18, 7.64683906733110e-18, 2.80117158396331], [1.30608745664971e-17, 2.29797582997986e-18, 2.0506174029119126], [1.37144949496920e-17, 1.17941620872178e-17, 4.62787920404199], [1.54793300762058e-17, 8.70187417729292e-18, 2.5416750427885493], [6.15675322672990e-18, 6.52388168972170e-18, 3.8854667931579763], [2.67535815187716e-18, 1.85206751320502e-18, 4.981800860930626], [9.49405091247724e-18, 9.82850439794645e-18, 2.805829329029995], [7.42968018122369e-18, 1.33739051297705e-17, 1.1527830878919278], [1.41765472117328e-17, 1.37766701554465e-18, 4.844614169560044], [6.81435723633345e-18, 1.23034546042684e-18, 1.9262461777539237]]","[2.61397958178361e-18, 1.30608745664971e-17, 1.37144949496920e-17, 1.54793300762058e-17, 6.15675322672990e-18, 2.67535815187716e-18, 9.49405091247724e-18, 7.42968018122369e-18, 1.41765472117328e-17, 6.81435723633345e-18]",b*(alpha*cos(theta) + 1)
71,"[[5.51539267624769e-30, 2.59453276260332e-11, 1], [2.85754620273027e-30, 2.79350571178417e-11, 10], [1.20211572208960e-29, 1.35787969141759e-11, 2], [3.37274629939333e-30, 1.08187542618594e-11, 2], [9.85183552652688e-30, 3.24678348520573e-11, 9], [2.05898620270116e-30, 1.30528507554701e-11, 14], [2.21530668806573e-30, 9.16637139259939e-11, 11], [1.69815744438573e-30, 1.13576800186950e-10, 9], [1.06014619785359e-30, 7.74232245194477e-11, 1], [1.54364714694676e-29, 2.45902947939152e-11, 2]]","[-9.07639877091515e+15, -63196352010053.8, -371049586199487., -41950119469830.4, -490846773557385., -1107437812990.00, -4.69395346809923e+15, -1.26692802914742e+16, -1.38341115465468e+17, -5.12440537040245e+15]",-m*q**4/(8*epsilon0**2*h**2*n**2)
72,"[[1, 1, 3.96876215960851e-18, 2.9658143759605453], [2, 3, 3.18176380106197e-18, 5.6248463959498824], [2, 1, 9.02249791144254e-18, 5.837854840507564], [3, 3, 1.39984788296904e-17, 2.7070959110500667], [1, 1, 1.48836814872769e-17, 3.081792924120311], [1, 3, 4.10216909778614e-18, 2.342079465752049], [1, 3, 5.00265196468706e-18, 3.3489918870472737], [3, 1, 1.22741294094772e-17, 2.8415361589106243], [2, 2, 1.48033194775796e-18, 5.48531651653], [2, 3, 2.03138143651483e-18, 4.7425492415960715]]","[4.0279277378936e-18*alpha**2, 2.03445279702293e-14*alpha**2, 1.29077079489323e-15*alpha**2, 2.83999992953259e-17*alpha**2, 2.82507281658301e-19*alpha**2, 4.64041541978971e-17*alpha**2, 2.29547692267938e-17*alpha**2, 3.90444453431243e-18*alpha**2, 2.00352503499636e-14*alpha**2, 2.31765737389436e-15*alpha**2]",Z_1**2*Z_2**2*alpha**2*c**2*h**2/(64*pi**2*E_n**2*sin(theta/2)**4)
73,"[[4.59164798339990e+23, 1315502101.47006, 991332656.285858, 6.64906104392136e+25, 2.899211149630984, 3.115146247560281], [2.01472334770817e+23, 12104929113.9816, 456800386.398518, 1.65397411419886e+25, 1.1072673456839381, 4.230402915380117], [4.41483387600383e+23, 1620721878.73824, 166345221.165452, 1.29364823824961e+26, 5.384032076717705, 4.564719135207264], [1.24028830262460e+23, 1784251139.94854, 612182479.509885, 1.31629042548315e+26, 3.5238137218928287, 4.536531535045021], [2.36549742338011e+23, 3270656596.20907, 769834926.574645, 4.71543772740396e+25, 2.786838758756506, 2.923123356834857], [1.52362917110400e+23, 7909713143.96482, 632527863.039038, 4.46463405953746e+25, 3.3125252940412055, 4.995830863030203], [3.32340919968308e+23, 1472128818.79742, 236065850.433678, 1.52063901756554e+25, 1.7844008108528817, 5.522239040509756], [3.53232458837798e+23, 5492528863.59316, 376810144.005041, 8.91523451861684e+25, 6.047380410679334, 0.23647009363080332], [3.41152064330741e+23, 6537430711.80846, 214522674.962175, 1.53205488935932e+25, 1.0897018101972227, 5.319984811675262], [8.01032476826623e+23, 10219543503.5771, 437552297.712003, 4.53709255249751e+25, 3.07949811192885, 6.191547711035726]]","[8.33738294211232e+15, -1.29244692172323e+15, 7.31424402878020e+16, 5.54330397608424e+15, 7.51999460852782e+15, 2.27529683384284e+15, -4.52304570931285e+15, 3.60218982136760e+16, 2.49317337273832e+16, -4.20985161575442e+15]",k_G*m*(sqrt(2*E_n*L**2/(k_G**2*m) + 1)*cos(theta1 - theta2) + 1)/L**2
74,"[[414864104.345270, 0.20924520674920022, 0.3914078091297095, 3.9085628521297062], [329459164.656539, 0.08805400006861774, 5.082444471312649, 0.7350070703187681], [101554379.892085, 0.8759733676108992, 1.452004445514826, 5.225941494656662], [793828215.895147, 0.327551468376591, 0.4147747810972821, 1.5927412027788168], [751888957.129027, 0.5888778338898675, 3.89762297208153, 6.257508937375582], [641169025.861970, 0.5229449101923346, 3.9939998777392676, 2.097211694287035], [165277281.755005, 0.4894531101614985, 4.430549809951256, 6.205957218899291], [853442572.534365, 0.8092578929686467, 2.7222055492919317, 5.080065180228234], [246829209.237101, 0.7852948295902046, 1.946725995391654, 2.086830753061709], [959335105.765381, 0.9868920051739142, 4.567432999510472, 2.7834342385944115]]","[492587520.190895, 337511621.221367, 80533823.4421454, 629701353.154423, 843806220.746374, 559534150.359690, 139562229.416365, 690049834.914602, 53224912.4908483, 31579417.7427693]",d*(1 - alpha**2)/(alpha*cos(theta1 - theta2) + 1)
75,"[[4.24992610452006e+23, 1.01451683677054e+26, 3.16247791872075e+25, 316539377.899125, 1050194106.73000], [3.46694271025869e+23, 1.82996082758488e+25, 1.59018759848564e+26, 477887926.271352, 678324412.810038], [1.57219682747648e+23, 1.43591623527024e+26, 5.44639136127424e+25, 107667666.504081, 685499524.772213], [3.65493704739527e+23, 3.81432586761873e+25, 3.23200514879104e+25, 211910149.054431, 207212696.436454], [9.94945226520571e+23, 1.50348921517389e+25, 3.13244596072915e+25, 229648210.803393, 349693514.865603], [5.12382068178418e+23, 5.57509169953363e+25, 2.85295787468132e+25, 260635959.211217, 131053647.361948], [1.31016009455088e+24, 4.22865552497185e+25, 1.89769110571571e+25, 294284810.821344, 413150988.868634], [1.58607154467998e+24, 9.94308405524024e+25, 3.70680262743652e+25, 1569191922.78327, 202360178.649539], [1.71255574610045e+23, 7.77432298918446e+25, 1.48959055639706e+26, 260957133.738569, 107042761.181240], [3.99273025440963e+23, 1.02909502622839e+26, 7.21861846456148e+25, 482027011.080178, 1401262288.05974]]","[18.1274077317892, 28.49169385905*I, 33.6719225573937, 5.64489890526000, 5.72229426962234*I, 10.3079611413782, 5.96513993729072, 8.86781172295409, 28.8390464368465*I, 12.4054942101811]",sqrt(2)*sqrt((E_n - L**2/(2*m*r**2) - U)/m)
76,"[[1570792386.54673, 3.81650303911777e+23, 2.39785711721719e+23], [661056675.213276, 4.19957040378070e+23, 2.42417623503494e+23], [199713667.547878, 4.27377631930215e+23, 4.65903308340197e+23], [208462190.587723, 1.17002978102350e+23, 2.79591505842726e+23], [130599893.778327, 1.11765780418511e+24, 3.36894876497007e+23], [924210379.783801, 1.00732713692606e+24, 1.35954723303713e+23], [746983113.488050, 9.54137815474046e+23, 5.96255065508993e+23], [1345695302.31509, 9.03012621956617e+23, 8.50111629803293e+23], [1130689875.86439, 1.17040848042661e+23, 1.05359121888512e+23], [273452184.958432, 6.43876736850339e+23, 4.76809956708395e+23]]","[60745291.4301628, 16063450.3270461, 2296943.40755433, 3676209.55246583, 951879.899904613, 20212137.9850832, 12611825.1673086, 28677837.7907091, 62012685.8243639, 3285584.47190276]",2*pi*d**(3/2)/sqrt(G*(m1 + m2))
77,"[[6.84702588438864e-18, 8.18776461156282e-10, 1.01504060308521e-30, 1, 2, 1.11065376493002e-10, 1.61084963140555e-18], [1.62173984231999e-18, 3.05607053218362e-10, 1.53588642436633e-29, 2, 1, 1.25508546750513e-11, 1.19646083842035e-18], [1.24600995689584e-18, 2.40063341701437e-10, 1.16047748630116e-29, 2, 3, 1.06310936050175e-10, 4.95719649279822e-18], [1.77381232180363e-18, 1.32676033281675e-10, 4.09229621062419e-30, 3, 1, 1.15362357429696e-10, 1.09506167193034e-18], [3.59149672419878e-18, 1.03002915409597e-10, 1.03129562310141e-30, 2, 3, 2.62112974648934e-11, 3.38120200807868e-18], [5.66810488214630e-18, 1.23041825328341e-9, 5.40124018328390e-30, 1, 1, 1.08514734297933e-11, 8.68354597258982e-18], [3.02200483163984e-18, 1.04977961104120e-10, 9.17619322847582e-30, 1, 3, 6.24135152233563e-11, 1.14147812479193e-17], [5.31841389207736e-18, 2.75990597006098e-10, 5.04918708685439e-30, 1, 2, 1.95197873173069e-11, 1.95939733269672e-18], [7.00324806150672e-18, 1.36825657089105e-9, 1.68882682990920e-30, 1, 1, 1.44446542348318e-10, 3.64868241012242e-18], [2.30508191743828e-18, 3.38644620937296e-10, 1.04405161855799e-30, 1, 1, 1.40854503998373e-11, 1.53217343273470e-18]]","[1.07883891129864, 1.17710315546783, 1.00000831147419, 1.00000929759858, 1.02606501435034, 106.206055419853, 1.00091629561946, 1.96965554760012, 1.38251676627798, 6.81435044925225]",sqrt(2*E_n*L**2*epsilon**2/(Z_1**2*Z_2**2*m*q**4) + 1)
78,"[[132634960.333038, 2.53927883175831e-27, -0.12592250890382495], [988298826.154017, 1.27555903634282e-26, -0.3190591532336564], [429046059.800248, 2.29858566059134e-27, -0.22085982869109722], [456870068.988066, 1.91809743604656e-27, 0.8945423130381962], [602833309.216964, 2.47370706311784e-27, -0.9840167441293597], [490860829.056236, 1.50748028407553e-27, 0.3249992679841691], [470421380.169017, 7.28049364128573e-27, 0.3703730277640682], [132782312.699631, 6.07191753135539e-27, 0.9902679164714072], [115792175.144975, 1.05830537709829e-27, 0.5543834124409011], [207297528.894659, 1.44955589088124e-26, -0.15692911687914024]]","[0.802073882957273, 0.171343655297143, 0.328378829494376, 0.620623819843212*I, 0.493315437454736, 0.348179756931234*I, 0.387840650987844*I, 2.24676075178451*I, 1.92773176828993*I, 0.572899368088069]",sqrt(8*pi*G*rho/3 - alpha*c**2/d**2)
79,"[[4.17244029708937e-24, -0.3384549165229589], [1.45747935603777e-23, 1.0516491243204102], [3.34592714654092e-24, -1.8814377383472776], [1.13534341864977e-23, -0.5691497881144336], [1.49766654351873e-23, 0.4223965659690019], [4.39557938913197e-24, 2.6928025771309603], [1.43757801960503e-24, -0.10946972118494092], [6.55994149470938e-24, -1.95738316089832], [5.17871230219072e-24, -0.23500891195122753], [3.15995024835129e-24, 1.4205177115455454]]","[4.17244029708937e-24/(1.0 + 2.63372638084676e-42/me), 1.45747935603777e-23/(1.0 + 8.17092057922309e-41/me), 3.34592714654092e-24/(1.0 + 4.86080618101344e-41/me), 1.13534341864977e-23/(1.0 + 1.99137807221696e-41/me), 1.49766654351873e-23/(1.0 + 1.46459538859063e-41/me), 4.39557938913197e-24/(1.0 + 9.29716645533524e-41/me), 1.43757801960503e-24/(1.0 + 9.57446026775427e-44/me), 6.55994149470938e-24/(1.0 + 1.00508259777272e-40/me), 5.17871230219072e-24/(1.0 + 1.58386920612195e-42/me), 3.15995024835129e-24/(1.0 + 2.98953790995297e-41/me)]",E_n/(E_n*(1 - cos(theta))/(c**2*me) + 1)
80,"[[1.14699982219319e+23, 7.23781392084695e+23, 181314076.988188], [2.27126415622898e+23, 1.57063652052161e+24, 148516208.098271], [2.04722730646980e+23, 4.97211762447248e+23, 847775799.141281], [4.18234792645396e+23, 6.75425142042088e+23, 314748191.294931], [2.82705473150032e+23, 3.20400875023170e+23, 152171252.591474], [9.65234648571528e+23, 5.93305440916305e+23, 119851152.381017], [1.72361287917672e+23, 3.28977364702096e+23, 1363486120.56683], [2.90421532115331e+23, 5.51521286150978e+23, 712383994.348589], [5.50283772334498e+23, 1.09336769162397e+24, 161035529.504235], [8.20061652045783e+23, 1.30388587095135e+23, 390327653.845329]]","[-1.54501091204433e-6, -0.000165883831740927, -8.70082932417111e-10, -1.48018183473028e-6, -3.17717299537985e-6, -0.00108288813661856, -1.79202184074102e-11, -6.16805493225688e-9, -0.000287846735200557, -6.28360917259000e-8]",-32*G**4*m1**2*m2**2*(m1 + m2)/(5*c**5*r**5)
81,"[[3.900310239314206, 1013909.92622033], [2.3695569535874497, 201955.345303813], [0.4878862118285058, 128577.589414648], [2.2899433573023926, 181081.091649759], [2.7203976225896875, 1540528.09982257], [4.959075025944487, 1342544.49088313], [5.55607928283592, 739901.984100713], [0.10585508596548326, 972075.400197536], [3.2919286411237603, 357076.323609367], [5.455019096499838, 375454.220433393]]","[arccos(-0.727315805484865), arccos(-0.716819727093627), arccos(0.8832314122492), arccos(-0.659084939705996), arccos(-0.91345596614729), arccos(0.239975854307701), arccos(0.746008687652837), arccos(0.994366265340575), arccos(-0.988747498614602), arccos(0.675547572324897)]",arccos((cos(theta2) - v/c)/(1 - v*cos(theta2)/c))
82,"[[0.0159988174900860, 9.06737174616712e-11, 1.37191420384514e-11, 4], [0.00777341869294013, 1.16123027839867e-10, 3.62121856215300e-11, 1], [0.00110551893391260, 6.99794769754597e-11, 1.32032480193423e-10, 7], [0.00264398009399001, 1.61214350326374e-11, 1.06052790019996e-10, 2], [0.00369229734177483, 2.59968197807133e-11, 1.58499225101198e-10, 2], [0.00307099344940062, 4.23542205617830e-11, 1.48837783986513e-10, 7], [0.00230719035641323, 1.55873448882981e-11, 1.73734444216901e-11, 1], [0.00210381526300033, 3.56255417971371e-11, 2.18039788413912e-11, 3], [0.00172241601779847, 1.02352135362947e-11, 6.17354393328046e-11, 4], [0.00380931581678134, 1.09691452253280e-11, 1.24236160130896e-10, 9]]","[0.255981079841375, 0.00777341869294012, 0.0541704277617173, 0.0105759203759601, 0.0147691893670993, 0.150478679020630, 0.00230719035641323, 0.0189343373670030, 0.0275586562847755, 0.308554581159289]",4*I_0*sin(alpha/2)**2*sin(delta*n/2)**2/(alpha**2*sin(delta/2)**2)
83,"[[0.00845468941238387, 0.0179892816955834, 0.530595420550619, 0.0906007958369033], [0.00249300555126397, 0.0706281180623851, 0.258249832583324, 0.0458682796090530], [0.00452210411521774, 0.0162017117433043, 0.126295380210110, 0.0277845646739900], [0.00416067993245222, 0.111902092393125, 0.415982378119912, 0.0104581512097299], [0.00325132456230994, 0.0834813833112222, 1.46197532335840, 0.124282199481557], [0.00892282044301415, 0.0467106732801532, 0.607527824537589, 0.0330100954660170], [0.00162622974234122, 0.130087730234294, 0.709700119466282, 0.0123648091875277], [0.00516696570561517, 0.0154050098536645, 0.177203846422594, 0.0529431125346811], [0.00357680806387558, 0.0473723361374944, 0.748961668606851, 0.0145380107744494], [0.00417338038672927, 0.0607169188346784, 0.619026024625177, 0.0113359263713548]]","[-16841906.5105905, -21749905.5990150, -318728967.154836, -1181762.63046343, -13717787.3785410, -924885343.304044, -135946.022917622, -29729403.7068218, -19163719.0814117, -8510639.40279076]",q*(4*pi*Volt*d*epsilon0 - d*q*y**3/(-d**2 + y**2)**2)/(4*pi*epsilon0*y**2)
84,"[[0.00683978940805902, 0.0143341956158688, 0.0117635616711442, 3.1482876797501094, 1.56931917620425e-12], [0.0150003164601161, 0.0400089770824994, 0.0178554867529839, 1.3120294071726633, 1.01503707091812e-12], [0.00607446405928181, 0.0993453674141155, 0.0170918699896454, 1.7842752388367213, 1.37302493484745e-12], [0.00108990369763380, 0.0184590858552192, 0.143418712332724, 5.666324239200699, 1.24360704073067e-12], [0.00272952613892432, 0.0534981861943550, 0.0103533682341272, 4.136775998707881, 1.69767791153698e-12], [0.0111363183985995, 0.0294140563715075, 0.0385244442181691, 2.785409239026452, 1.08137324355980e-12], [0.00495139432983721, 0.0365422406195775, 0.0507888133340149, 3.5796411018194565, 1.40681331266233e-12], [0.0103533054211412, 0.0153508698647659, 0.0101839345707618, 4.318852453898853, 6.32172641321259e-12], [0.00263508594432469, 0.0315705909540433, 0.0175994754075458, 1.9439434013461567, 2.31380455036421e-12], [0.00326209961659158, 0.0160037769194518, 0.0208978467976226, 3.7664821689807435, 9.26914855513882e-12]]","[13289872259.9061, 29832694420.6649, 3375071723.82398, 541454786.831633, 2140673161.23573, 12252864296.0594, 3283428832.32895, 6081440479.23473, 2190603127.66867, 796812799.691650]",q/(4*pi*epsilon*sqrt(d**2 - 2*d*r*cos(alpha) + r**2))
85,"[[17.6821346079865, 1.1822829284219014, 0.0222285115875397, 0.0166401975914910, 0.968362863451139], [34.0339620874537, 5.9707849270645, 0.0237825453050133, 0.0267604784669327, 1.18024239250674], [70.8784211023034, 4.834549580094066, 0.0123136935369325, 0.147490599651244, 0.572928990401980], [60.6149791580767, 4.354628755190882, 0.0214483462971531, 0.0491864823340136, 1.38454292535087], [138.389499299558, 2.938965277980377, 0.0553294558508586, 0.0119958975831168, 0.688253260118507], [140.493659235570, 4.67899849908666, 0.0144311153725204, 0.0271909432967695, 0.221806490994371], [100.828478579191, 5.6782876298318605, 0.0136361326918572, 0.0222963765179277, 0.222030569189981], [34.2972861980958, 2.074954802259891, 0.0817950206481283, 0.0194010265205908, 0.156452335288435], [34.1020577284787, 4.035602698234768, 0.131981508494652, 0.100841472633491, 1.14887033177777], [17.7808820504629, 2.3250957976332094, 0.157956194571071, 0.0140476697853301, 0.347513686917834]]","[-0.149557249375763, -0.708046377047839, -30.4419900389965, -0.168562034981475, 7.50922673860252, 0.226267671016577, -2.86189426276643, 1.36225522815270, 2.75939259764380, 1.92364473798113]",Ef*(d**3*(alpha - 1)/(r**2*(alpha + 2)) - r)*cos(theta)
86,"[[119426.758962817, 3146239179.84072, 3.9818674831089376], [935474.664786354, 4798490872.80211, 3.984931549009857], [219000.301974633, 6309849686.81059, 3.5485474392083733], [154680.963348101, 1623575613.55684, 2.4211699384030743], [108309.764385079, 4717032720.68945, 4.7404975279691595], [1054190.69119577, 2142849668.96421, 0.03242816727818356], [483989.296527882, 2448667070.07002, 5.736226373825894], [1021423.63681107, 3796670295.46701, 2.8450393656199795], [397186.717703564, 2633807782.76654, 5.69218216856726], [107543.042024782, 6250605793.04234, 1.8236214436045701]]","[3147075461.09524, 4808444968.65110, 6314083782.49658, 1624205195.92715, 4716984517.57970, 2135331684.49758, 2445292095.72458, 3809059624.06803, 2630911073.61898, 6251166317.76137]",omega*sqrt(1 - v**2/c**2)/(1 + v*cos(theta)/c)
87,"[[1.20184204324286e-30, 8.08225483136465e-9, 1.23680440185244e-10, 31.9961056178893, 0.124983861873598], [1.11742654660214e-30, 8.55920245066408e-9, 7.96834078100637e-11, 102.236628060542, 0.262242756909368], [1.32324447529322e-29, 3.00232807831304e-9, 1.48022829511300e-11, 94.3071702491692, 1.16854616030345], [3.86865667666518e-30, 1.21683716051620e-9, 1.29226738572626e-10, 135.741358331038, 0.190806356005197], [7.05197990818715e-30, 4.70689365593857e-9, 3.00803091215063e-11, 150.810660535030, 0.115070413011223], [5.93301168059402e-30, 6.31756106893381e-9, 1.56250956901120e-11, 67.4512480165190, 0.318281684521694], [1.96450972119309e-30, 1.31216360440654e-8, 1.80732340888644e-11, 119.963726594201, 0.248990541252212], [9.16320773770039e-30, 4.59649264111846e-9, 1.89941973820824e-11, 28.8122293974812, 0.288096075603967], [2.09090229968825e-30, 5.24499532840144e-9, 1.08936578543221e-10, 49.1240101598941, 0.614536636543135], [5.50331937123483e-30, 3.02975073682960e-9, 1.18310233157186e-11, 23.3761720225109, 1.19877866495272]]","[1.23663261836730, 0.123706217125876, 0.481576609457289, 4.89398472470686, 0.0511033323705363, 1.57799623522070, 3.28377774732139, 1.21392785591558, 0.0318997951203125, 0.825384608319674]",Volt*q + sqrt(c**4*m**2 + c**2*(-A_vec*q + p)**2)
